Tracker;Operation on;Type;Occurrences
9;SET_INDEXED;org.graalvm.compiler.nodes.LoopExitNode;11959
9;SET_INDEXED;org.graalvm.compiler.nodes.ParameterNode;44127
9;SET_INDEXED;org.graalvm.compiler.nodes.GuardNode;7803
9;SET_INDEXED;org.graalvm.compiler.nodes.DeoptimizeNode;11716
9;SET_INDEXED;org.graalvm.compiler.nodes.extended.JavaWriteNode;331
9;SET_INDEXED;org.graalvm.compiler.nodes.PiArrayNode;212
9;SET_INDEXED;org.graalvm.compiler.nodes.LoopBeginNode;6125
9;SET_INDEXED;org.graalvm.compiler.nodes.calc.NormalizeCompareNode;2574
9;SET_INDEXED;org.graalvm.compiler.nodes.ReturnNode;47112
9;SET_INDEXED;org.graalvm.compiler.nodes.MergeNode;25441
9;SET_INDEXED;org.graalvm.compiler.nodes.EntryMarkerNode;66
9;SET_INDEXED;org.graalvm.compiler.nodes.java.MonitorEnterNode;1202
9;SET_INDEXED;org.graalvm.compiler.nodes.java.MethodCallTargetNode;45298
9;SET_INDEXED;org.graalvm.compiler.nodes.virtual.VirtualBoxingNode;25
9;SET_INDEXED;org.graalvm.compiler.nodes.virtual.VirtualArrayNode;143
9;SET_INDEXED;org.graalvm.compiler.nodes.memory.ReadNode;20244
9;SET_INDEXED;org.graalvm.compiler.nodes.virtual.VirtualInstanceNode;381
9;SET_INDEXED;org.graalvm.compiler.nodes.java.ValueCompareAndSwapNode;174
9;SET_INDEXED;org.graalvm.compiler.nodes.BeginNode;120690
9;SET_INDEXED;org.graalvm.compiler.nodes.IfNode;52556
9;SET_INDEXED;org.graalvm.compiler.nodes.DynamicPiNode;3
9;SET_INDEXED;org.graalvm.compiler.nodes.extended.IntegerSwitchNode;845
9;GET_INDEXED;org.graalvm.compiler.nodes.java.LogicCompareAndSwapNode;321
9;GET_INDEXED;org.graalvm.compiler.nodes.extended.OSRLocalNode;295
9;GET_INDEXED;org.graalvm.collections.list.statistics.NoObject;148536
9;GET_INDEXED;org.graalvm.compiler.nodes.extended.JavaReadNode;145
9;GET_INDEXED;org.graalvm.compiler.nodes.DynamicDeoptimizeNode;720
9;GET_INDEXED;org.graalvm.compiler.nodes.FixedGuardNode;34729
9;GET_INDEXED;org.graalvm.compiler.nodes.java.MonitorExitNode;381
9;GET_INDEXED;org.graalvm.compiler.nodes.java.TypeSwitchNode;150
9;GET_INDEXED;org.graalvm.compiler.nodes.memory.WriteNode;7377
9;GET_INDEXED;org.graalvm.compiler.nodes.ShortCircuitOrNode;535
9;GET_INDEXED;org.graalvm.compiler.nodes.java.RawMonitorEnterNode;59
9;GET_INDEXED;org.graalvm.compiler.nodes.FrameState;140384
9;GET_INDEXED;org.graalvm.compiler.nodes.java.MonitorIdNode;268
9;GET_INDEXED;org.graalvm.compiler.nodes.PiNode;18802
9;GET_INDEXED;org.graalvm.compiler.nodes.LoopExitNode;8652
9;GET_INDEXED;org.graalvm.compiler.nodes.ParameterNode;24057
9;GET_INDEXED;org.graalvm.compiler.nodes.GuardNode;7150
9;GET_INDEXED;org.graalvm.compiler.nodes.DeoptimizeNode;9892
9;GET_INDEXED;org.graalvm.compiler.nodes.extended.JavaWriteNode;258
9;GET_INDEXED;org.graalvm.compiler.nodes.PiArrayNode;149
9;GET_INDEXED;org.graalvm.compiler.nodes.LoopBeginNode;2650
9;GET_INDEXED;org.graalvm.compiler.nodes.calc.NormalizeCompareNode;1822
9;GET_INDEXED;org.graalvm.compiler.nodes.ReturnNode;27709
9;GET_INDEXED;org.graalvm.compiler.nodes.MergeNode;16733
