Tracker;Allocation Sites
33;org.graalvm.compiler.nodes.util.GraphUtil#markFixedNodes:171
34;org.graalvm.compiler.core.common.alloc.ComputeBlockOrder#computeCodeEmittingOrder:89
35;org.graalvm.compiler.core.common.alloc.ComputeBlockOrder#computeLinearScanOrder:75
36;org.graalvm.compiler.lir.framemap.FrameMap#<init>:111
37;org.graalvm.compiler.lir.framemap.FrameMapBuilderImpl#<init>:68
38;org.graalvm.compiler.lir.framemap.FrameMapBuilderImpl#<init>:69
39;org.graalvm.compiler.hotspot.amd64.AMD64HotSpotLIRGenerator#<init>:224
40;org.graalvm.compiler.lir.LIRIntrospection$LIRFieldsScanner#<init>:155
41;org.graalvm.compiler.lir.LIRIntrospection$OperandModeAnnotation#<init>:149
42;org.graalvm.compiler.core.match.MatchRuleRegistry#createRules:133
43;org.graalvm.compiler.lir.gen.LIRGenerator$BlockScopeImpl#doBlockStart:346
44;org.graalvm.compiler.core.gen.NodeLIRBuilder#createPhiOut:292
45;org.graalvm.compiler.core.match.MatchContext#consume:170
46;org.graalvm.compiler.core.gen.NodeLIRBuilder#createPhiIn:274
47;org.graalvm.compiler.lir.constopt.VariableMap#<init>:41
48;org.graalvm.compiler.lir.alloc.lsra.MoveResolver#<init>:108
49;org.graalvm.compiler.lir.alloc.lsra.MoveResolver#<init>:109
50;org.graalvm.compiler.lir.alloc.lsra.MoveResolver#<init>:110
51;org.graalvm.compiler.lir.LIRInsertionBuffer#<init>:64
52;org.graalvm.compiler.hotspot.amd64.AMD64HotSpotRegisterAllocationConfig#initAllocatable:94
53;org.graalvm.compiler.hotspot.HotSpotReferenceMapBuilder#<init>:60
54;org.graalvm.compiler.lir.EdgeMoveOptimizer$Optimizer#<init>:82
55;org.graalvm.compiler.code.CompilationResult#addAnnotation:622
56;org.graalvm.compiler.asm.Label#addPatchAt:80
57;org.graalvm.compiler.replacements.classfile.Classfile#readMethods:159
58;org.graalvm.compiler.java.BytecodeParser#genReturn:2421
59;org.graalvm.compiler.java.FrameStateBuilder#addSideEffect:981
60;org.graalvm.compiler.hotspot.HotSpotCompiledCodeBuilder#getSortedSites:205
61;org.graalvm.compiler.hotspot.HotSpotGraalVMEventListener#<init>:45
62;org.graalvm.compiler.java.BytecodeParser#checkLoopExit:2609
63;org.graalvm.compiler.phases.graph.ReentrantNodeIterator#apply:149
64;org.graalvm.compiler.phases.common.inlining.walker.ComputeInliningRelevance#computeFastPathMinProbability:258
65;org.graalvm.compiler.phases.common.inlining.InliningUtil#inline:313
66;org.graalvm.compiler.phases.common.inlining.InliningUtil#inline:314
67;org.graalvm.compiler.phases.common.inlining.InliningUtil#inline:315
68;org.graalvm.compiler.nodes.FrameState#duplicateModified:382
69;org.graalvm.compiler.core.common.cfg.Loop#<init>:50
70;org.graalvm.compiler.core.common.cfg.Loop#<init>:51
71;org.graalvm.compiler.core.common.cfg.Loop#<init>:52
72;org.graalvm.compiler.nodes.FrameState#duplicateWithVirtualState:328
73;org.graalvm.compiler.virtual.phases.ea.EffectsClosure#processLoop:333
74;org.graalvm.compiler.phases.graph.ReentrantBlockIterator#mergeStates:193
75;org.graalvm.compiler.phases.schedule.SchedulePhase$Instance#sortNodesLatestWithinBlock:432
76;org.graalvm.compiler.nodes.IfNode#removeIntermediateMaterialization:1174
77;org.graalvm.compiler.nodes.IfNode#removeIntermediateMaterialization:1175
78;org.graalvm.compiler.replacements.SnippetTemplate#<init>:840
79;org.graalvm.compiler.replacements.SnippetTemplate#<init>:841
80;org.graalvm.compiler.replacements.SnippetTemplate#<init>:842
81;org.graalvm.compiler.nodes.memory.MemoryMapNode#<init>:68
82;org.graalvm.compiler.replacements.SnippetTemplate#<init>:931
83;org.graalvm.compiler.replacements.SnippetTemplate#<init>:959
84;org.graalvm.compiler.nodes.cfg.LocationSet#initList:48
85;org.graalvm.compiler.lir.constopt.DefUseTree#<init>:49
86;org.graalvm.compiler.lir.constopt.ConstantLoadOptimization$Optimization#addUsageToBlockMap:185
87;org.graalvm.compiler.lir.constopt.ConstantTree#getOrInitList:113
88;org.graalvm.compiler.lir.constopt.ConstantTreeAnalyzer#process:110
89;org.graalvm.compiler.lir.alloc.lsra.Interval#newSplitChild:1086
90;org.graalvm.compiler.lir.alloc.lsra.LinearScanWalker#setUsePos:146
91;org.graalvm.compiler.lir.alloc.lsra.MoveResolver#resolveMappings:355
92;org.graalvm.compiler.nodes.cfg.Block#delete:361
93;org.graalvm.compiler.replacements.nodes.ExplodeLoopNode#findLoopBegin:53
94;org.graalvm.compiler.replacements.GraphKit#<init>:108
95;org.graalvm.compiler.java.BytecodeParser#genSwitch:4302
96;org.graalvm.compiler.phases.common.inlining.info.elem.InlineableGraph#trackParameterUsages:182
97;org.graalvm.compiler.java.BciBlockMapping$BciBlock#copy:209
98;org.graalvm.compiler.phases.common.inlining.walker.InliningData#getTypeCheckedInlineInfo:302
99;org.graalvm.compiler.phases.common.inlining.walker.InliningData#getTypeCheckedInlineInfo:303
100;org.graalvm.compiler.phases.common.inlining.walker.InliningData#getTypeCheckedInlineInfo:349
101;org.graalvm.compiler.phases.common.inlining.walker.InliningData#getTypeCheckedInlineInfo:350
102;org.graalvm.compiler.phases.common.inlining.info.MultiTypeGuardInlineInfo#inlineMultipleMethods:251
103;org.graalvm.compiler.loop.phases.LoopTransformations#findUnswitchable:419
104;org.graalvm.compiler.phases.schedule.SchedulePhase$Instance#selectLatestBlock:278
105;org.graalvm.compiler.lir.amd64.phases.StackMoveOptimizationPhase$Closure#process:103
106;org.graalvm.compiler.lir.amd64.phases.StackMoveOptimizationPhase$Closure#process:104
107;org.graalvm.compiler.java.BytecodeParser#adjustProfileForInvocationPlugin:1956
108;org.graalvm.compiler.loop.phases.LoopTransformations#findUnswitchable:433
109;org.graalvm.compiler.virtual.phases.ea.PartialEscapeBlockState#materializeBefore:188
110;org.graalvm.compiler.virtual.phases.ea.PartialEscapeBlockState#materializeBefore:189
111;org.graalvm.compiler.virtual.phases.ea.PartialEscapeBlockState#materializeBefore:190
112;org.graalvm.compiler.virtual.phases.ea.PartialEscapeBlockState#materializeBefore:191
113;org.graalvm.compiler.virtual.phases.ea.PartialEscapeBlockState#materializeBefore:192
114;org.graalvm.compiler.nodes.virtual.CommitAllocationNode#<init>:75
115;org.graalvm.compiler.nodes.virtual.CommitAllocationNode#<init>:76
116;org.graalvm.compiler.replacements.DefaultJavaLoweringProvider#lowerCommitAllocationNode:676
117;org.graalvm.compiler.phases.common.inlining.walker.InliningData#getTypeCheckedInlineInfo:323
118;org.graalvm.compiler.phases.common.inlining.walker.InliningData#getTypeCheckedInlineInfo:324
119;org.graalvm.compiler.debug.KeyRegistry#getKeys:58
