Tracker;Operation on;Type;Occurrences
3;ADD_OBJ;org.graalvm.compiler.phases.common.LoopSafepointInsertionPhase;928
5;ADD_OBJ;org.graalvm.compiler.core.common.FieldsScanner$FieldInfo;720
5;GET_INDEXED;org.graalvm.compiler.core.common.FieldsScanner$FieldInfo;23
6;ADD_OBJ;org.graalvm.compiler.graph.NodeClass$InputInfo;407
6;GET_INDEXED;org.graalvm.compiler.graph.NodeClass$InputInfo;814
7;ADD_OBJ;org.graalvm.compiler.graph.NodeClass$EdgeInfo;116
8;SET_INDEXED;org.graalvm.compiler.nodes.PiArrayNode;193
8;SET_INDEXED;org.graalvm.compiler.nodes.virtual.VirtualBoxingNode;4
8;SET_INDEXED;org.graalvm.compiler.nodes.extended.JavaWriteNode;78
8;SET_INDEXED;org.graalvm.compiler.nodes.ShortCircuitOrNode;318
8;SET_INDEXED;org.graalvm.compiler.nodes.extended.OSRLocalNode;20
8;SET_INDEXED;org.graalvm.compiler.nodes.LoopBeginNode;4845
8;SET_INDEXED;org.graalvm.compiler.nodes.memory.WriteNode;649
8;SET_INDEXED;org.graalvm.compiler.nodes.DynamicDeoptimizeNode;735
8;SET_INDEXED;org.graalvm.compiler.nodes.EntryMarkerNode;51
8;SET_INDEXED;org.graalvm.compiler.nodes.KillingBeginNode;318
8;SET_INDEXED;org.graalvm.compiler.nodes.StartNode;38938
8;SET_INDEXED;org.graalvm.collections.list.statistics.NoObject;4373
8;SET_INDEXED;org.graalvm.compiler.nodes.InvokeWithExceptionNode;315
8;SET_INDEXED;org.graalvm.compiler.nodes.PiNode;11752
8;SET_INDEXED;org.graalvm.compiler.nodes.virtual.VirtualInstanceNode;324
8;SET_INDEXED;org.graalvm.compiler.nodes.java.ExceptionObjectNode;330
8;SET_INDEXED;org.graalvm.compiler.hotspot.nodes.StubStartNode;11
8;SET_INDEXED;org.graalvm.compiler.nodes.calc.NormalizeCompareNode;346
8;SET_INDEXED;org.graalvm.compiler.nodes.java.RawMonitorEnterNode;64
8;SET_INDEXED;org.graalvm.compiler.nodes.ReturnNode;38718
8;SET_INDEXED;org.graalvm.compiler.nodes.MergeNode;8928
8;SET_INDEXED;org.graalvm.compiler.nodes.extended.IntegerSwitchNode;726
8;SET_INDEXED;org.graalvm.compiler.nodes.java.MethodCallTargetNode;26923
8;SET_INDEXED;org.graalvm.compiler.nodes.FrameState;38862
8;SET_INDEXED;org.graalvm.compiler.nodes.extended.JavaReadNode;261
8;SET_INDEXED;org.graalvm.compiler.nodes.BeginNode;15593
8;SET_INDEXED;org.graalvm.compiler.nodes.LoopExitNode;4786
8;SET_INDEXED;org.graalvm.compiler.nodes.java.MonitorExitNode;2373
8;SET_INDEXED;org.graalvm.compiler.nodes.DeoptimizeNode;2280
8;SET_INDEXED;org.graalvm.compiler.nodes.java.MonitorEnterNode;2372
8;SET_INDEXED;org.graalvm.compiler.nodes.java.ValueCompareAndSwapNode;68
8;SET_INDEXED;org.graalvm.compiler.nodes.memory.ReadNode;1322
8;SET_INDEXED;org.graalvm.compiler.nodes.IfNode;15095
8;SET_INDEXED;org.graalvm.compiler.nodes.ParameterNode;38489
8;SET_INDEXED;org.graalvm.compiler.nodes.extended.OSRStartNode;21
8;SET_INDEXED;org.graalvm.compiler.nodes.java.MonitorIdNode;2372
8;SET_INDEXED;org.graalvm.compiler.nodes.virtual.VirtualArrayNode;114
