Tracker;Operation on;Type;Occurrences
3;SET_INDEXED;org.graalvm.compiler.java.GraphBuilderPhase;31
5;ADD_OBJ;org.graalvm.compiler.core.common.FieldsScanner$FieldInfo;710
5;GET_INDEXED;org.graalvm.compiler.core.common.FieldsScanner$FieldInfo;23
6;ADD_OBJ;org.graalvm.compiler.graph.NodeClass$InputInfo;400
6;GET_INDEXED;org.graalvm.compiler.graph.NodeClass$InputInfo;800
7;ADD_OBJ;org.graalvm.compiler.graph.NodeClass$EdgeInfo;116
8;ADD_OBJ;org.graalvm.collections.list.statistics.NoObject;357849
8;SET_INDEXED;org.graalvm.compiler.hotspot.nodes.StubStartNode;10
8;SET_INDEXED;org.graalvm.compiler.nodes.extended.OSRStartNode;31
8;SET_INDEXED;org.graalvm.compiler.nodes.GuardNode;695
8;SET_INDEXED;org.graalvm.compiler.nodes.memory.ReadNode;783
8;SET_INDEXED;org.graalvm.compiler.nodes.DynamicDeoptimizeNode;607
8;SET_INDEXED;org.graalvm.compiler.nodes.PiNode;4661
8;SET_INDEXED;org.graalvm.compiler.nodes.ReturnNode;14593
8;SET_INDEXED;org.graalvm.compiler.nodes.java.TypeSwitchNode;254
8;SET_INDEXED;org.graalvm.compiler.nodes.java.RawMonitorEnterNode;89
8;SET_INDEXED;org.graalvm.compiler.nodes.virtual.VirtualInstanceNode;163
8;SET_INDEXED;org.graalvm.compiler.nodes.extended.JavaWriteNode;84
8;SET_INDEXED;org.graalvm.compiler.nodes.virtual.VirtualBoxingNode;5
8;SET_INDEXED;org.graalvm.compiler.nodes.InvokeWithExceptionNode;3
8;SET_INDEXED;org.graalvm.compiler.nodes.FixedGuardNode;8607
8;SET_INDEXED;org.graalvm.compiler.nodes.DeoptimizeNode;1731
8;SET_INDEXED;org.graalvm.compiler.nodes.memory.WriteNode;536
8;SET_INDEXED;org.graalvm.compiler.nodes.extended.JavaReadNode;141
8;SET_INDEXED;org.graalvm.collections.list.statistics.NoObject;2507
8;SET_INDEXED;org.graalvm.compiler.nodes.java.ValueCompareAndSwapNode;92
8;SET_INDEXED;org.graalvm.compiler.nodes.LoopExitNode;2179
8;SET_INDEXED;org.graalvm.compiler.nodes.ParameterNode;14492
8;SET_INDEXED;org.graalvm.compiler.nodes.KillingBeginNode;3
8;SET_INDEXED;org.graalvm.compiler.nodes.calc.NormalizeCompareNode;409
8;SET_INDEXED;org.graalvm.compiler.nodes.java.LogicCompareAndSwapNode;100
8;SET_INDEXED;org.graalvm.compiler.nodes.LoopBeginNode;2190
8;SET_INDEXED;org.graalvm.compiler.nodes.EntryMarkerNode;84
8;SET_INDEXED;org.graalvm.compiler.nodes.extended.IntegerSwitchNode;761
8;SET_INDEXED;org.graalvm.compiler.nodes.StartNode;14676
8;SET_INDEXED;org.graalvm.compiler.nodes.ShortCircuitOrNode;243
8;SET_INDEXED;org.graalvm.compiler.nodes.java.ExceptionObjectNode;3
8;SET_INDEXED;org.graalvm.compiler.nodes.PiArrayNode;112
8;SET_INDEXED;org.graalvm.compiler.nodes.IfNode;7203
8;SET_INDEXED;org.graalvm.compiler.nodes.BeginNode;7673
8;SET_INDEXED;org.graalvm.compiler.nodes.java.MethodCallTargetNode;9962
8;SET_INDEXED;org.graalvm.compiler.nodes.extended.OSRLocalNode;30
8;SET_INDEXED;org.graalvm.compiler.nodes.MergeNode;5615
