Tracker;Operation on;Type;Occurrences
10;GET_INDEXED;org.graalvm.compiler.nodes.java.MonitorExitNode;1017
10;GET_INDEXED;org.graalvm.compiler.nodes.virtual.VirtualArrayNode;42
10;GET_INDEXED;org.graalvm.compiler.nodes.memory.ReadNode;109959
10;GET_INDEXED;org.graalvm.compiler.nodes.ReturnNode;106150
10;GET_INDEXED;org.graalvm.compiler.nodes.java.MonitorEnterNode;973
10;GET_INDEXED;org.graalvm.compiler.nodes.java.MonitorIdNode;968
10;GET_INDEXED;org.graalvm.compiler.nodes.java.RawMonitorEnterNode;25
10;GET_INDEXED;org.graalvm.compiler.nodes.ParameterNode;79964
10;GET_INDEXED;org.graalvm.compiler.nodes.virtual.VirtualInstanceNode;1801
10;GET_INDEXED;org.graalvm.compiler.nodes.java.MethodCallTargetNode;136213
10;GET_INDEXED;org.graalvm.compiler.nodes.java.LogicCompareAndSwapNode;346
10;GET_INDEXED;org.graalvm.compiler.nodes.IfNode;145509
10;GET_INDEXED;org.graalvm.compiler.nodes.FixedGuardNode;132039
10;GET_INDEXED;org.graalvm.compiler.nodes.DynamicPiNode;3
10;GET_INDEXED;org.graalvm.compiler.nodes.PiNode;129139
10;GET_INDEXED;org.graalvm.compiler.nodes.extended.JavaReadNode;229
10;GET_INDEXED;org.graalvm.compiler.nodes.extended.IntegerSwitchNode;786
10;GET_INDEXED;org.graalvm.compiler.nodes.GuardNode;41200
10;GET_INDEXED;org.graalvm.compiler.nodes.calc.NormalizeCompareNode;1841
10;GET_INDEXED;org.graalvm.compiler.nodes.java.TypeSwitchNode;1621
10;ADD_OBJ;org.graalvm.collections.list.statistics.NoObject;1555782
11;ADD_OBJ;jdk.vm.ci.hotspot.HotSpotResolvedJavaMethodImpl;82041
14;ADD_OBJ;org.graalvm.compiler.hotspot.HotSpotDataBuilder$1;1997
14;ADD_OBJ;org.graalvm.compiler.code.DataSection$SerializableData;95
15;ADD_OBJ;jdk.vm.ci.code.site.Call;32612
15;ADD_OBJ;jdk.vm.ci.code.site.Infopoint;18504
16;ADD_OBJ;org.graalvm.compiler.code.SourceMapping;46
