Tracker;Operation on;Type;Occurrences
3;SET_INDEXED;org.graalvm.compiler.java.GraphBuilderPhase;11
5;ADD_OBJ;org.graalvm.compiler.core.common.FieldsScanner$FieldInfo;692
5;GET_INDEXED;org.graalvm.compiler.core.common.FieldsScanner$FieldInfo;22
6;ADD_OBJ;org.graalvm.compiler.graph.NodeClass$InputInfo;397
6;GET_INDEXED;org.graalvm.compiler.graph.NodeClass$InputInfo;794
7;ADD_OBJ;org.graalvm.compiler.graph.NodeClass$EdgeInfo;113
8;ADD_OBJ;org.graalvm.collections.list.statistics.NoObject;375294
8;SET_INDEXED;org.graalvm.compiler.nodes.BeginNode;8502
8;SET_INDEXED;org.graalvm.compiler.nodes.extended.OSRStartNode;11
8;SET_INDEXED;org.graalvm.compiler.nodes.ReturnNode;15803
8;SET_INDEXED;org.graalvm.compiler.nodes.extended.OSRLockNode;1
8;SET_INDEXED;org.graalvm.compiler.nodes.memory.WriteNode;590
8;SET_INDEXED;org.graalvm.compiler.nodes.KillingBeginNode;12
8;SET_INDEXED;org.graalvm.compiler.nodes.IfNode;7952
8;SET_INDEXED;org.graalvm.compiler.nodes.LoopBeginNode;2743
8;SET_INDEXED;org.graalvm.compiler.nodes.FrameState;15883
8;SET_INDEXED;org.graalvm.compiler.nodes.memory.ReadNode;822
8;SET_INDEXED;org.graalvm.compiler.hotspot.nodes.StubStartNode;10
8;SET_INDEXED;org.graalvm.compiler.nodes.java.MonitorEnterNode;1354
8;SET_INDEXED;org.graalvm.compiler.nodes.java.MonitorExitNode;1356
8;SET_INDEXED;org.graalvm.compiler.nodes.java.MonitorIdNode;1354
8;SET_INDEXED;org.graalvm.compiler.nodes.extended.JavaReadNode;138
8;SET_INDEXED;org.graalvm.collections.list.statistics.NoObject;3092
8;SET_INDEXED;org.graalvm.compiler.nodes.java.ValueCompareAndSwapNode;161
8;SET_INDEXED;org.graalvm.compiler.nodes.java.MethodCallTargetNode;10558
8;SET_INDEXED;org.graalvm.compiler.nodes.calc.NormalizeCompareNode;170
8;SET_INDEXED;org.graalvm.compiler.nodes.DynamicDeoptimizeNode;667
8;SET_INDEXED;org.graalvm.compiler.nodes.extended.OSRLocalNode;10
8;SET_INDEXED;org.graalvm.compiler.nodes.PiNode;5505
8;SET_INDEXED;org.graalvm.compiler.nodes.MergeNode;5952
8;SET_INDEXED;org.graalvm.compiler.nodes.ParameterNode;15730
8;SET_INDEXED;org.graalvm.compiler.nodes.DeoptimizeNode;1612
8;SET_INDEXED;org.graalvm.compiler.nodes.extended.JavaWriteNode;84
8;SET_INDEXED;org.graalvm.compiler.nodes.java.RawMonitorEnterNode;155
8;SET_INDEXED;org.graalvm.compiler.nodes.StartNode;15853
8;SET_INDEXED;org.graalvm.compiler.nodes.java.ExceptionObjectNode;12
8;SET_INDEXED;org.graalvm.compiler.nodes.GuardNode;756
8;SET_INDEXED;org.graalvm.compiler.nodes.LoopExitNode;2741
8;SET_INDEXED;org.graalvm.compiler.nodes.extended.IntegerSwitchNode;374
8;SET_INDEXED;org.graalvm.compiler.nodes.java.TypeSwitchNode;221
8;SET_INDEXED;org.graalvm.compiler.nodes.virtual.VirtualArrayNode;60
8;SET_INDEXED;org.graalvm.compiler.nodes.FixedGuardNode;10491
