Tracker;Operation;Occurrences
7;ITERATOR;238
7;ENSURE_CAP;116
7;SET_INDEXED;0
7;REMOVE_OBJ;0
7;SIZE;476
7;CSTR_STD;238
8;CLEAR;0
8;GROW;21
8;ADD_OBJ;878007
8;ENSURE_CAP;878007
8;GET_INDEXED;411426
8;SET_INDEXED;296913
8;REMOVE_OBJ;0
8;CSTR_CAP;39179
8;SIZE;2650241
9;CLEAR;0
9;GROW;21
9;ADD_OBJ;878007
9;ENSURE_CAP;878007
9;GET_INDEXED;1199667
9;SET_INDEXED;1229353
9;REMOVE_OBJ;0
9;CSTR_CAP;39179
9;SIZE;39118
10;CLEAR;0
10;GROW;22197
10;CONTAINS;906
10;ADD_ALL;14901
10;ADD_OBJ;29482
10;ITERATOR;915
10;ENSURE_CAP;44383
10;INDEX_OF;906
10;SET_INDEXED;0
10;REMOVE_OBJ;0
10;SIZE;69826
10;CSTR_STD;39179
10;TO_ARRAY;14901
11;CLEAR;0
11;GROW;10
11;ADD_OBJ;206
11;ENSURE_CAP;206
11;SET_INDEXED;0
11;REMOVE_OBJ;0
11;SIZE;207
11;CSTR_STD;1
11;TO_ARRAY;1
12;CLEAR;0
12;GROW;0
12;ADD_OBJ;0
12;SET_INDEXED;0
12;REMOVE_OBJ;0
12;SIZE;39118
12;CSTR_STD;39179
13;CLEAR;0
13;GROW;0
13;ADD_OBJ;0
13;SET_INDEXED;0
13;REMOVE_OBJ;0
13;SIZE;39118
13;CSTR_STD;39179
14;CLEAR;0
14;GROW;308
14;SORT;910
14;ADD_OBJ;746
14;ITERATOR;1820
14;ENSURE_CAP;746
14;SET_INDEXED;0
14;REMOVE_OBJ;0
14;SIZE;909
14;CSTR_STD;910
15;CLEAR;0
15;GROW;2962
15;ADD_OBJ;20667
15;ITERATOR;910
15;ENSURE_CAP;20667
15;EMPTY;1820
15;SET_INDEXED;0
15;REMOVE_OBJ;0
15;SIZE;3639
15;CSTR_STD;910
15;TO_ARRAY;910
16;CLEAR;0
16;GROW;8
16;ADD_OBJ;35
16;ENSURE_CAP;35
16;EMPTY;910
16;SET_INDEXED;0
16;REMOVE_OBJ;0
16;SIZE;913
16;CSTR_STD;910
17;CLEAR;0
17;GROW;1608
17;ADD_OBJ;10132
17;ITERATOR;594
17;ENSURE_CAP;10132
17;EMPTY;1820
17;SET_INDEXED;0
17;REMOVE_OBJ;0
17;SIZE;2691
17;CSTR_STD;910
17;TO_ARRAY;594
18;CLEAR;0
18;GROW;34
18;ADD_OBJ;91
18;ITERATOR;23
18;ENSURE_CAP;91
18;EMPTY;1820
18;SET_INDEXED;0
18;REMOVE_OBJ;0
18;SIZE;978
18;CSTR_STD;910
18;TO_ARRAY;23
19;CLEAR;0
19;GROW;2301
19;ADD_OBJ;9892
19;ITERATOR;910
19;ENSURE_CAP;9892
19;EMPTY;1820
19;SET_INDEXED;0
19;REMOVE_OBJ;0
19;SIZE;3639
19;CSTR_STD;910
19;TO_ARRAY;910
20;CLEAR;0
20;GROW;4577
20;ADD_ALL;27
20;ADD_OBJ;10010
20;ITERATOR;2757
20;ENSURE_CAP;10037
20;SET_INDEXED;0
20;REMOVE_OBJ;0
20;CREATE_LIST_ITR;9
20;SIZE;2808
20;CSTR_STD;2757
20;TO_ARRAY;27
21;CLEAR;0
21;GROW;0
21;ADD_OBJ;0
21;SET_INDEXED;0
21;REMOVE_OBJ;0
21;SIZE;34016
21;CSTR_STD;34016
22;CLEAR;4398
22;GROW;7024
22;ADD_OBJ;357587
22;ITERATOR;1287359
22;ENSURE_CAP;357587
22;GET_INDEXED;179462
22;SET_INDEXED;0
22;REMOVE_OBJ;0
22;CSTR_CAP;352926
22;SIZE;1194027
23;CLEAR;0
23;GROW;9843
23;ADD_OBJ;21588
23;ITERATOR;4542
23;ENSURE_CAP;21588
23;SET_INDEXED;0
23;REMOVE_OBJ;0
23;SIZE;42907
23;CSTR_STD;15139
24;CLEAR;0
24;GROW;0
24;ADD_OBJ;2692567
24;ITERATOR;431969
24;ENSURE_CAP;2692567
24;GET_INDEXED;1598061
24;SET_INDEXED;0
24;REMOVE_OBJ;0
24;CREATE_LIST_ITR;21696
24;SUBLIST;13118
24;CSTR_CAP;449826
24;SIZE;1479328
25;CLEAR;0
25;GROW;2203
